Date-Time,symbol,Close,Volume,sma_9,sma_21,signal
2025-07-19 23:07:29,AAPL1,136.65,5146,565.8455555555556,688.047619047619,Hold
2025-07-19 23:06:59,AAPL1,242.47,7537,616.0522222222222,696.0176190476191,Sell
2025-07-19 23:06:29,AAPL1,294.48,2148,720.0799999999999,742.7761904761904,Hold
2025-07-19 23:05:59,AAPL1,1236.54,6098,722.3277777777778,744.4685714285714,Sell
2025-07-19 23:05:29,AAPL1,1156.0,6008,712.4844444444445,740.7333333333333,Sell
2025-07-19 23:04:59,AAPL1,373.07,2412,600.978888888889,744.1109523809524,Hold
2025-07-19 23:04:29,AAPL1,821.36,8834,626.5577777777778,787.0114285714286,Sell
2025-07-19 23:03:59,AAPL1,630.34,8341,678.8377777777778,798.847619047619,Sell
2025-07-19 23:03:29,AAPL1,201.7,1386,679.5955555555555,827.31,Hold
2025-07-19 23:02:59,AAPL1,588.51,2680,747.4555555555556,850.69,Sell
2025-07-19 23:02:29,AAPL1,1178.72,2421,824.5,855.56,Hold
2025-07-19 23:01:59,AAPL1,314.71,4229,787.4922222222223,825.3633333333332,Hold
2025-07-19 23:01:29,AAPL1,1147.95,9006,808.2722222222224,824.0,Hold
2025-07-19 23:00:59,AAPL1,152.45,9557,714.5022222222221,774.6557142857143,Sell
2025-07-19 23:00:29,AAPL1,603.28,3087,833.6077777777778,834.6128571428573,Hold
2025-07-19 22:59:59,AAPL1,1291.88,4910,803.2455555555556,828.7457142857143,Sell
2025-07-19 22:59:29,AAPL1,637.16,1596,788.3811111111112,806.424761904762,Hold
2025-07-19 22:58:59,AAPL1,812.44,8708,853.911111111111,804.7809523809525,Hold
2025-07-19 22:58:29,AAPL1,1281.91,9410,905.1933333333333,823.1209523809524,Buy
2025-07-19 22:57:59,AAPL1,845.65,2576,881.6388888888889,789.8176190476191,Hold
2025-07-19 22:57:29,AAPL1,501.73,2984,924.127777777778,801.5090476190477,Hold
2025-07-19 22:56:59,AAPL1,304.02,3162,945.3444444444444,846.3633333333332,Hold
2025-07-19 22:56:29,AAPL1,1224.4,8669,988.3177777777778,847.2104761904761,Buy
2025-07-19 22:55:59,AAPL1,330.02,2802,912.7833333333333,824.0814285714285,Buy
2025-07-19 22:55:29,AAPL1,1158.1,1265,907.901111111111,862.1128571428571,Hold
2025-07-19 22:54:59,AAPL1,1226.93,1265,791.6366666666667,848.3971428571429,Sell
2025-07-19 22:54:29,AAPL1,1273.98,1144,812.1500000000001,833.0157142857144,Hold
2025-07-19 22:53:59,AAPL1,1069.92,4829,723.9377777777777,841.7119047619047,Hold
2025-07-19 22:53:29,AAPL1,1228.05,6559,696.5177777777777,835.8833333333333,Sell
2025-07-19 22:52:59,AAPL1,692.68,5194,627.0277777777778,838.6633333333333,Sell
